,STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DYXP,DYXP_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYNT,DYNT_ATTRIBUTES,DYXT,DYXT_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DYSD,DYSD_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DYFG,DYFG_ATTRIBUTES,DYSN,DYSN_ATTRIBUTES,DYTS,DYTS_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,AWND,AWND_ATTRIBUTES,DYHF,DYHF_ATTRIBUTES,WDFG,WDFG_ATTRIBUTES,WSFG,WSFG_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDFM,WDFM_ATTRIBUTES,WSFM,WSFM_ATTRIBUTES,WDF1,WDF1_ATTRIBUTES,WSF1,WSF1_ATTRIBUTES
0,ASN00051031,1889-03,-31.6395,147.316,179.0,"NYNGAN CANONBAR, AS",5.0,",a",5.0,",a",0.0,",a",18890303.0,",,a",14.0,",,a,03,",39.4,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ASN00051032,1886-01,-31.2,148.7,298.7,"MOUNT TENANDRA, AS",5.0,",a",2.0,",a",0.0,",a",18860103.0,",,a",8.6,",,a,03,",17.2,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ASN00051033,1750-03,-31.8576,147.1343,182.0,"NYNGAN MUDALL, AS",4.0,"2,a",3.0,"2,a",1.0,"2,a",17500306.0,",2,a",43.0,"2,,a,06,",50.8,"2,,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ASN00051034,1750-03,-31.4986,147.6865,192.0,"WARREN MUMBLEBONE, AS",3.0,"2,a",3.0,"2,a",2.0,"2,a",17500306.0,",2,a",123.0,"2,,a,06,",164.6,"2,,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ASN00051035,1896-01,-32.15,148.1,,"MUNGERIBAR, AS",0.0,",a",0.0,",a",0.0,",a",18960131.0,"+,,a",0.0,",,a,31,+",0.0,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,ASN00051036,1889-07,-31.6,146.6,,"MURIEL TANK, AS",3.0,",a",3.0,",a",0.0,",a",18890716.0,",,a",6.4,",,a,16,",12.2,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ASN00051037,1888-01,-32.2442,148.2447,236.0,"NARROMINE ALAGALAH ST, AS",0.0,",a",0.0,",a",0.0,",a",18880131.0,"+,,a",0.0,",,a,31,+",0.0,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,ASN00051038,1750-03,-31.8369,147.7171,197.0,"NEVERTIRE CLYDE ST, AS",4.0,"2,a",4.0,"2,a",1.0,"2,a",17500306.0,",2,a",63.4,"2,,a,06,",96.2,"2,,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,ASN00051039,1750-03,-31.5495,147.1961,173.0,"NYNGAN AIRPORT, AS",3.0,"5,a",2.0,"5,a",2.0,"5,a",17500306.0,",5,a",65.4,"5,,a,06,",109.4,"2,a,,a",,,,,0.0,"5,a",0.0,"5,a",0.0,"4,a",27.0,"4,a",18.0,"4,a",17500324.0,"+,5,a",17500304.0,",4,a",17.6,"5,a,24,+",42.6,"4,a,04,",,,,,27.83,"6,a",35.05,"4,,,a",20.62,"5,,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,ASN00051040,1883-10,-30.65,147.9667,143.0,"COONAMBLE PIER PIER, AS",5.0,",a",4.0,",a",0.0,",a",18831022.0,",,a",20.3,",,a,22,",44.2,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,ASN00051041,1877-08,-30.6,147.8,140.0,"QUABATHOO, AS",0.0,",a",0.0,",a",0.0,",a",18770831.0,"+,,a",0.0,",,a,31,+",0.0,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,ASN00051042,1750-03,-30.9252,147.869,152.0,"QUAMBONE STATION, AS",2.0,"2,a",2.0,"2,a",0.0,"2,a",17500316.0,",2,a",9.8,"2,,a,16,",18.6,"2,,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,ASN00051043,1921-01,-31.0261,147.7009,162.0,"QUAMBONE OXLEY, AS",6.0,",a",4.0,",a",0.0,",a",19210103.0,",,a",21.3,",,a,03,",43.6,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,ASN00051044,1886-01,-30.8707,147.7462,140.0,"QUAMBONE SANDY CAMP, AS",0.0,",a",0.0,",a",0.0,",a",18860131.0,"+,,a",0.0,",,a,31,+",0.0,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,ASN00051045,1914-07,-30.8833,148.85,244.0,"TERIDGERIE POST OFFICE, AS",6.0,",a",2.0,",a",0.0,",a",19140701.0,",,a",18.0,",,a,01,",30.2,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,ASN00051046,1898-04,-30.5,147.3,134.1,"THE GINGHET, AS",0.0,",a",0.0,",a",0.0,",a",18980430.0,"+,,a",0.0,",,a,30,+",0.0,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,ASN00051047,1911-04,-30.7,148.0,,"TOORA, AS",0.0,",a",0.0,",a",0.0,",a",19110430.0,"+,,a",0.0,",,a,30,+",0.0,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,ASN00051048,1898-04,-32.0322,147.9826,222.0,"TRANGIE POST OFFICE, AS",0.0,",a",0.0,",a",0.0,",a",18980430.0,"+,,a",0.0,",,a,30,+",0.0,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,ASN00051049,1750-03,-31.9861,147.9489,215.0,"TRANGIE RESEARCH STATION AWS, AS",4.0,"2,a",3.0,"2,a",1.0,"2,a",17500306.0,",2,a",48.4,"2,,a,06,",59.4,"2,,,a",,,276.5,"2,a",0.0,"2,a",0.0,"2,a",0.0,"2,a",29.0,"2,a",24.0,"2,a",17500324.0,",2,a",17500304.0,",2,a",17.2,"2,a,24,",41.8,"2,a,04,",,,0.0,"2,a",27.87,"2,a",35.08,"2,,,a",20.66,"2,,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,ASN00051050,1881-01,-30.8,148.7,,"URAWILKIE, AS",2.0,",a",2.0,",a",1.0,",a",18810110.0,",,a",38.1,",,a,10,",43.2,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,ASN00051051,1890-08,-31.65,148.45,252.0,"GILGANDRA BERIDA, AS",6.0,",a",5.0,",a",0.0,",a",18900802.0,",,a",9.7,",,a,02,",31.4,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,ASN00051052,1912-01,-31.165,148.6417,229.0,"WARRUMBUNGLE WALLA WALLA, AS",1.0,",a",1.0,",a",0.0,",a",19120105.0,",,a",10.2,",,a,05,",10.2,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,ASN00051053,1882-01,-31.0,148.4333,182.9,"COONAMBLE WARRANA, AS",0.0,",a",0.0,",a",0.0,",a",18820131.0,"+,,a",0.0,",,a,31,+",0.0,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,ASN00051054,1884-01,-31.6976,147.8348,197.0,"WARREN FRAWLEY ST, AS",2.0,",a",1.0,",a",0.0,",a",18840120.0,",,a",6.4,",,a,20,",7.9,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,ASN00051055,1928-01,-30.3833,147.9667,,"CARINA WILGA PARK, AS",5.0,"3,a",4.0,"3,a",0.0,"3,a",19280119.0,",3,a",22.9,"3,,a,19,",55.9,"3,,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,ASN00051056,1884-01,-30.5833,148.3167,122.0,"COONAMBLE WINGADEE, AS",0.0,",a",0.0,",a",0.0,",a",18840131.0,"+,,a",0.0,",,a,31,+",0.0,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,ASN00051057,1886-06,-30.6998,147.2232,131.0,"MARRA CREEK WOMBOIN, AS",5.0,",a",4.0,",a",1.0,",a",18860618.0,",,a",50.8,",,a,18,",60.9,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,ASN00051058,1883-01,-30.2,147.5,129.5,"BREWON, AS",0.0,",a",0.0,",a",0.0,",a",18830131.0,"+,,a",0.0,",,a,31,+",0.0,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,ASN00051059,1893-01,-31.25,148.8,305.0,"WARRUMBUNGLE POST OFFICE, AS",2.0,",a",2.0,",a",1.0,",a",18930122.0,",,a",45.0,",,a,22,",61.8,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,ASN00051060,1894-06,-31.7,148.6,,"BONGEABONG, AS",3.0,",a",3.0,",a",1.0,",a",18940625.0,",,a",30.5,",,a,25,",62.0,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,ASN00051061,1886-01,-31.25,147.2,,"COLANE, AS",3.0,",a",3.0,",a",0.0,",a",18860122.0,"+,,a",15.2,",,a,22,+",32.9,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,ASN00051062,1983-01,-31.2594,148.0161,186.0,"WARREN ELLERSLIE, AS",3.0,"2,a",3.0,"2,a",0.0,"2,a",19830103.0,",2,a",15.2,"2,,a,03,",87.2,",a,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,ASN00051063,1890-03,-31.7,147.4,,"MULLENGUDGERY, AS",8.0,"5,a",7.0,"5,a",0.0,"5,a",18900324.0,",5,a",22.9,"5,,a,24,",87.7,"5,,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,ASN00051064,1897-09,-32.1,148.4,,"WILLOW BELAH, AS",5.0,",a",4.0,",a",1.0,",a",18970922.0,",,a",42.9,",,a,22,",65.5,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,ASN00051065,1953-08,-31.1333,148.3667,197.0,"COMBARA POST OFFICE, AS",5.0,",a",4.0,",a",0.0,",a",19530805.0,",,a",17.5,",,a,05,",41.1,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,ASN00051066,1750-03,-31.9478,148.62,302.0,"EUMUNGERIE POST OFFICE, AS",5.0,"2,a",3.0,"2,a",1.0,"2,a",17500306.0,",2,a",52.0,"2,,a,06,",70.0,"2,,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,ASN00051067,1895-04,-31.0833,146.8,,"MULGAH, AS",2.0,",a",1.0,",a",0.0,",a",18950410.0,",,a",2.5,",,a,10,",3.8,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,ASN00051068,2007-01,-31.3799,148.2644,215.0,"GULARGAMBONE THE MAZE, AS",6.0,",a",4.0,",a",1.0,",a",20070102.0,",,a",25.5,",,a,02,",79.6,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,ASN00051069,1914-01,-31.05,147.3667,155.0,"NYNGAN BUCKIINGUY, AS",3.0,",a",2.0,",a",0.0,",a",19140120.0,",,a",7.6,",,a,20,",16.0,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,ASN00051070,1874-03,-31.1,148.7,,"CALGA, AS",2.0,",a",2.0,",a",0.0,",a",18740325.0,",,a",22.9,",,a,25,",28.0,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,ASN00051071,1880-01,-31.6,147.3,,"CANNONBAR, AS",2.0,",a",2.0,",a",0.0,",a",18800108.0,",,a",15.7,",,a,08,",21.0,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,ASN00051072,1892-01,-31.0228,147.9026,160.0,"QUAMBONE CARWELL, AS",2.0,",a",2.0,",a",1.0,",a",18920116.0,",,a",25.9,",,a,16,",48.8,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,ASN00051073,1923-07,-32.2,148.1,,"CERES, AS",12.0,",a",7.0,",a",0.0,",a",19230730.0,",,a",18.8,",,a,30,",45.0,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,ASN00051074,1902-01,-31.7167,148.3833,,"COLLIE, AS",2.0,",a",1.0,",a",0.0,",a",19020105.0,",,a",4.6,",,a,05,",5.1,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,ASN00051075,1895-05,-31.7167,148.3167,,"COLLIE WEST, AS",1.0,",a",1.0,",a",1.0,",a",18950525.0,",,a",34.8,",,a,25,",34.8,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,ASN00051076,1916-08,-31.0,148.4,,"COONAMBLE EXP. FARM, AS",9.0,",a",3.0,",a",0.0,",a",19160810.0,",,a",12.7,",,a,10,",30.1,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,ASN00051077,1882-02,-30.9,147.9,,"COONIMBIA, AS",3.0,",a",3.0,",a",2.0,",a",18820206.0,",,a",123.4,",,a,06,",157.4,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,ASN00051078,1900-12,-32.2333,148.2,,"CORNUCOPIA, AS",4.0,",a",3.0,",a",0.0,",a",19001221.0,",,a",6.4,",,a,21,",16.1,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,ASN00051079,1896-01,-32.0667,148.25,,"CUDDILL, AS",5.0,",a",1.0,",a",0.0,",a",18960117.0,",,a",5.8,",,a,17,",8.6,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,ASN00051080,1892-07,-31.55,148.5833,,"CURBAN 1, AS",10.0,",a",8.0,",a",1.0,",a",18920706.0,",,a",32.5,",,a,06,",97.1,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,ASN00051081,1899-01,-31.55,148.5833,,"CURBAN 2, AS",4.0,",a",4.0,",a",1.0,",a",18990119.0,",,a",27.9,",,a,19,",56.4,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,ASN00051082,1903-05,-32.3667,148.45,,"DAPPO, AS",4.0,",a",3.0,",a",1.0,",a",19030521.0,",,a",27.7,",,a,21,",61.2,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,ASN00051083,1900-08,-31.3833,148.8333,,"DOOROOMBAH, AS",4.0,",a",1.0,",a",0.0,",a",19000812.0,",,a",3.6,",,a,12,",7.2,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,ASN00051084,1979-01,-30.905,147.4829,155.0,"MACQUARIE MARSHES WILLIE RETR, AS",0.0,",a",0.0,",a",0.0,",a",19790131.0,"+,,a",0.0,",,a,31,+",0.0,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,ASN00051086,1901-10,-31.1333,147.8833,,"GRADGERY, AS",7.0,",a",3.0,",a",0.0,",a",19011010.0,",,a",11.7,",,a,10,",29.8,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,ASN00051087,1901-01,-31.7167,146.8167,,"GRAYRIGG TANK, AS",2.0,",a",2.0,",a",0.0,",a",19010127.0,",,a",4.6,",,a,27,",8.7,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,ASN00051088,1887-10,-31.263,148.8666,365.0,"WARRUMBUNGLE CHEDDINGTON, AS",0.0,",a",0.0,",a",0.0,",a",18871031.0,"+,,a",0.0,",,a,31,+",0.0,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,ASN00051089,1913-02,-31.7,147.6,,"GUNNINGBAR 2, AS",5.0,",a",4.0,",a",1.0,",a",19130215.0,",,a",25.4,",,a,15,",63.1,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,ASN00051090,1899-12,-31.3,148.0,,"MERRIMBA, AS",0.0,",a",0.0,",a",0.0,",a",18991231.0,"+,,a",0.0,",,a,31,+",0.0,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,ASN00051092,1885-02,-31.3,147.3,,"MOONAGEE, AS",1.0,",a",1.0,",a",1.0,",a",18850201.0,",,a",35.6,",,a,01,",35.6,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,ASN00051093,1925-01,-30.8,147.2,,"MUNDADOO, AS",11.0,",a",6.0,",a",0.0,",a",19250119.0,",,a",19.1,",,a,19,",50.3,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,ASN00051094,1881-04,-30.9,148.6,,"NEBA COONAMBLE, AS",0.0,",a",0.0,",a",0.0,",a",18810430.0,"+,,a",0.0,",,a,30,+",0.0,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,ASN00051095,1911-01,-31.6,147.2,,"NYNGAN EXP.FARM, AS",8.0,",a",6.0,",a",0.0,",a",19110118.0,",,a",13.5,",,a,18,",60.1,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,ASN00051097,1901-05,-31.3833,148.1333,,"THE GRANGE, AS",2.0,",a",2.0,",a",0.0,",a",19010527.0,",,a",22.9,",,a,27,",32.3,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,ASN00051098,1885-01,-32.0,148.0,,"TRANGIE HILLSIDE, AS",12.0,",a",7.0,",a",1.0,",a",18850126.0,",,a",25.4,",,a,26,",79.1,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,ASN00051099,1899-10,-30.5,148.5,,"WAIMEA, AS",3.0,",a",0.0,",a",0.0,",a",18991001.0,",,a",1.3,",,a,01,",2.1,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,ASN00051100,1928-04,-30.8,147.6,,"WALLANBAH, AS",2.0,",a",2.0,",a",0.0,",a",19280416.0,",,a",16.0,",,a,16,",29.5,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,ASN00051101,1881-01,-30.3,147.9,,"WILGAR DOWNS, AS",3.0,",a",3.0,",a",0.0,",a",18810111.0,",,a",16.0,",,a,11,",37.5,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,ASN00051102,1894-07,-31.4,148.1,,"WARREN WOODSIDE, AS",0.0,",a",0.0,",a",0.0,",a",18940731.0,"+,,a",0.0,",,a,31,+",0.0,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,ASN00051105,1915-01,-31.3,147.2,,"GERAR, AS",1.0,",a",1.0,",a",0.0,",a",19150111.0,",,a",3.0,",,a,11,",3.0,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,ASN00051106,1907-07,-30.6833,148.4333,,"BILLEROY, AS",5.0,",a",2.0,",a",1.0,",a",19070728.0,",,a",26.2,",,a,28,",31.5,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,ASN00051107,1908-11,-31.7667,147.6,,"INGELARA BELARINGAR, AS",6.0,",a",5.0,",a",0.0,",a",19081123.0,",,a",14.2,",,a,23,",54.9,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,ASN00051108,1894-06,-30.5,148.35,,"KENSINGTON NEWLANDS, AS",8.0,",a",3.0,",a",0.0,",a",18940623.0,",,a",22.4,",,a,23,",39.0,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,ASN00051109,1885-01,-31.2667,148.55,,"MERIGAL, AS",4.0,",a",4.0,",a",2.0,",a",18850121.0,",,a",39.6,",,a,21,",109.4,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,ASN00051110,1880-06,-30.9167,148.1333,167.6,"NELGOWRIE, AS",1.0,",a",1.0,",a",0.0,",a",18800614.0,",,a",3.8,",,a,14,",3.8,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,ASN00051111,1880-09,-31.5333,146.9167,,"THORNDALE, AS",4.0,",a",4.0,",a",0.0,",a",18800914.0,",,a",4.1,",,a,14,",14.2,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,ASN00051112,1882-01,-30.15,147.7667,,"YOWENDAH, AS",0.0,",a",0.0,",a",0.0,",a",18820131.0,"+,,a",0.0,",,a,31,+",0.0,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,ASN00051113,1903-07,-30.7667,148.15,,"FOREST HOME, AS",3.0,",a",3.0,",a",2.0,",a",19030725.0,",,a",40.6,",,a,25,",79.0,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
